Derinlik,ML,Yer,Timestamp
7.9,1.8,30,1702056468.0
2.9,2.0,30,1702054827.0
10.8,2.6,30,1702054664.0
7.8,1.5,30,1702054095.0
9.0,1.1,21,1702053575.0
7.5,1.3,30,1702051847.0
9.8,2.3,17,1702051475.0
7.6,1.6,30,1702050770.0
5.9,2.0,24,1702048212.0
7.9,1.8,1,1702046759.0
3.0,2.3,24,1702043345.0
5.0,2.7,28,1702042747.0
9.0,1.9,43,1702042308.0
5.3,1.2,43,1702042120.0
13.6,1.8,30,1702041881.0
5.0,1.6,43,1702041851.0
28.3,1.4,30,1702039967.0
0.0,1.7,30,1702037601.0
6.0,1.8,24,1702037486.0
3.5,2.5,30,1702035699.0
2.3,1.6,24,1702034609.0
5.0,2.4,30,1702032276.0
0.0,0.9,24,1702030027.0
25.5,1.2,30,1702029746.0
1.3,1.8,32,1702029142.0
15.9,1.9,28,1702028456.0
1.0,1.7,24,1702026909.0
0.0,1.9,26,1702026684.0
5.0,1.8,21,1702026019.0
4.3,2.3,21,1702024555.0
13.8,1.4,2,1702023469.0
26.3,1.8,30,1702022684.0
17.1,1.4,30,1702021336.0
3.6,2.1,44,1702021104.0
2.1,2.9,24,1702019752.0
0.0,1.6,32,1702019399.0
11.6,1.7,24,1702017773.0
5.0,1.4,30,1702017241.0
9.3,1.3,40,1702015773.0
5.0,1.7,10,1702015649.0
11.9,1.8,30,1702015640.0
19.2,1.7,17,1702015099.0
9.9,1.9,17,1702012700.0
6.0,1.7,21,1702012150.0
4.4,2.6,15,1702009222.0
6.1,1.6,24,1702008244.0
16.9,1.4,30,1702005451.0
3.6,1.8,39,1702004582.0
18.5,1.2,24,1702002828.0
11.6,1.7,30,1701998061.0
5.4,1.3,30,1701997431.0
5.0,1.8,30,1701997077.0
7.1,1.5,24,1701995493.0
3.3,1.3,30,1701990699.0
5.0,1.5,30,1701990368.0
2.8,1.4,30,1701989992.0
7.6,1.5,24,1701989861.0
11.7,1.6,33,1701988049.0
14.1,1.1,30,1701987541.0
6.9,1.5,21,1701986811.0
14.9,1.8,8,1701986527.0
4.7,1.7,17,1701986180.0
4.6,2.6,17,1701983785.0
11.3,1.4,30,1701982815.0
5.6,2.0,8,1701982343.0
8.6,1.8,8,1701981264.0
9.5,1.9,8,1701981141.0
5.0,1.7,30,1701981089.0
9.4,1.4,28,1701979934.0
12.5,1.2,21,1701978693.0
23.6,1.5,1,1701978459.0
7.1,1.7,17,1701977922.0
5.0,3.6,17,1701977090.0
13.5,1.5,24,1701976444.0
13.9,1.5,33,1701971776.0
14.5,1.6,10,1701971099.0
5.8,2.8,36,1701968166.0
7.4,1.7,17,1701967709.0
27.2,1.5,30,1701967464.0
6.2,2.2,28,1701965204.0
4.6,1.6,10,1701964572.0
8.8,1.4,30,1701962289.0
2.0,1.7,5,1701961904.0
5.0,3.2,3,1701957343.0
5.5,1.5,24,1701954660.0
5.9,1.9,42,1701953123.0
17.7,0.7,24,1701949076.0
5.0,1.9,24,1701948864.0
2.1,1.5,28,1701947307.0
10.5,1.5,27,1701946974.0
0.0,1.3,32,1701946966.0
9.7,1.9,24,1701946439.0
5.1,2.3,20,1701945974.0
10.6,2.5,10,1701945461.0
0.0,1.6,29,1701942813.0
0.0,1.5,29,1701942653.0
0.0,1.6,29,1701942541.0
8.7,1.8,30,1701942153.0
0.0,1.4,32,1701941594.0
5.0,1.8,1,1701940907.0
1.4,2.1,26,1701940639.0
5.0,1.3,11,1701940565.0
29.7,1.4,24,1701939890.0
16.3,1.7,29,1701939106.0
15.7,1.3,32,1701937999.0
6.6,1.6,24,1701936906.0
3.3,2.8,24,1701935128.0
13.8,1.4,24,1701933284.0
6.3,2.2,24,1701930977.0
8.6,2.2,24,1701930538.0
6.0,1.5,30,1701928172.0
5.5,1.5,1,1701927870.0
2.1,2.5,24,1701927335.0
13.9,1.4,24,1701926771.0
7.9,1.9,24,1701925473.0
10.8,1.4,43,1701923456.0
5.0,2.1,0,1701923285.0
5.6,1.6,30,1701923074.0
2.3,1.1,30,1701922330.0
5.3,1.5,18,1701920037.0
21.4,1.8,38,1701919770.0
7.4,2.0,13,1701916817.0
6.0,2.3,24,1701916184.0
7.9,1.5,5,1701915516.0
5.0,2.0,40,1701914048.0
5.0,3.2,30,1701912605.0
19.6,1.0,30,1701910244.0
5.0,2.1,6,1701906981.0
3.0,1.7,33,1701906907.0
5.4,1.1,30,1701905417.0
5.5,1.9,38,1701905352.0
2.1,1.7,38,1701905119.0
5.2,1.6,30,1701903702.0
4.8,0.9,30,1701901682.0
5.3,1.1,24,1701900262.0
5.4,1.0,24,1701898309.0
6.5,1.3,24,1701896998.0
10.3,2.7,11,1701895289.0
4.7,1.0,0,1701890163.0
2.2,2.2,30,1701889257.0
5.0,1.5,24,1701885276.0
5.3,1.7,9,1701884700.0
4.9,2.2,38,1701883901.0
13.1,1.3,24,1701882761.0
8.4,1.9,30,1701881079.0
12.7,1.5,24,1701879028.0
7.0,1.4,30,1701877738.0
2.5,1.8,26,1701876732.0
5.0,2.3,31,1701874249.0
9.2,2.8,21,1701873500.0
3.2,2.7,0,1701872696.0
15.8,1.7,17,1701872397.0
17.1,1.5,26,1701872175.0
2.6,2.2,30,1701870514.0
5.3,1.7,23,1701866972.0
13.1,1.5,24,1701865236.0
4.9,1.3,7,1701863248.0
13.3,2.0,13,1701862743.0
7.4,1.8,7,1701862708.0
8.0,2.2,13,1701862112.0
8.1,1.5,24,1701862065.0
6.9,1.9,13,1701861767.0
1.4,2.4,23,1701859946.0
14.2,1.2,0,1701859864.0
9.0,1.4,10,1701859097.0
23.1,1.6,21,1701859067.0
8.8,1.8,24,1701858796.0
9.3,1.7,24,1701858292.0
10.7,3.3,10,1701856904.0
0.0,2.0,29,1701856082.0
0.0,1.7,29,1701855868.0
9.3,2.2,40,1701854836.0
16.2,1.4,24,1701854180.0
19.2,1.9,1,1701853565.0
0.0,1.4,20,1701853436.0
5.3,2.0,24,1701852800.0
11.3,1.8,13,1701852485.0
0.0,1.8,30,1701850681.0
6.9,1.8,1,1701850309.0
2.1,1.9,13,1701849735.0
6.8,2.4,24,1701847015.0
5.0,1.1,40,1701846850.0
5.3,1.1,28,1701846786.0
11.8,1.5,24,1701846490.0
5.0,1.4,10,1701845654.0
5.0,3.1,24,1701844904.0
16.0,1.7,24,1701844542.0
2.8,2.4,24,1701844254.0
8.5,1.5,24,1701843680.0
7.8,1.9,24,1701843542.0
5.4,1.6,20,1701842588.0
20.4,1.7,32,1701842349.0
5.4,2.6,1,1701842315.0
6.5,1.6,24,1701842171.0
24.1,1.3,0,1701841637.0
5.4,2.6,37,1701841531.0
5.1,2.0,44,1701841423.0
16.2,1.9,40,1701840355.0
5.0,2.6,24,1701840212.0
5.0,3.2,24,1701839460.0
5.3,3.3,13,1701836934.0
5.0,2.4,25,1701834958.0
6.0,1.2,10,1701834431.0
12.5,1.7,24,1701833043.0
8.7,1.5,33,1701832936.0
8.1,1.7,30,1701832009.0
5.4,1.6,24,1701831793.0
1.4,2.2,24,1701831716.0
11.1,1.8,24,1701829039.0
5.2,2.7,36,1701824399.0
5.0,2.6,20,1701824319.0
11.0,1.8,10,1701820780.0
5.5,1.5,30,1701819572.0
6.6,1.7,42,1701818644.0
4.9,1.9,1,1701817444.0
6.9,1.8,38,1701815293.0
16.9,1.6,19,1701815003.0
5.0,3.1,40,1701811499.0
7.7,1.4,12,1701811333.0
5.4,2.0,30,1701809865.0
6.4,1.5,30,1701809779.0
5.4,2.0,1,1701809329.0
12.3,1.8,30,1701808479.0
15.6,1.4,24,1701808235.0
7.8,2.0,24,1701808087.0
11.7,2.5,17,1701807804.0
12.2,1.2,10,1701806912.0
3.8,1.7,24,1701806293.0
5.0,1.8,24,1701805792.0
33.2,1.3,24,1701805261.0
6.2,1.5,22,1701803183.0
36.3,2.6,32,1701802860.0
7.0,2.4,13,1701802531.0
4.9,1.5,40,1701801025.0
8.1,2.1,30,1701800839.0
4.4,1.8,31,1701799996.0
4.3,1.6,21,1701799613.0
3.0,1.3,30,1701799506.0
7.0,3.0,31,1701799496.0
6.9,2.0,16,1701798650.0
4.9,1.9,24,1701797782.0
11.2,1.6,30,1701796705.0
5.4,2.1,30,1701791290.0
5.4,2.2,1,1701789557.0
0.0,1.4,32,1701788826.0
10.7,1.3,24,1701786157.0
6.3,3.2,16,1701785455.0
8.8,2.2,24,1701784814.0
6.2,1.5,44,1701783702.0
2.0,1.7,24,1701781920.0
5.6,1.3,30,1701781157.0
1.5,1.1,40,1701779807.0
8.9,1.7,24,1701779670.0
14.4,1.6,30,1701778938.0
5.2,1.6,11,1701777539.0
8.2,1.7,24,1701776444.0
5.0,1.7,21,1701776252.0
10.3,1.6,10,1701774280.0
5.0,1.8,44,1701773745.0
4.2,1.4,43,1701773622.0
7.1,2.8,13,1701773531.0
5.4,2.2,30,1701773434.0
5.3,1.5,13,1701772951.0
12.0,1.4,10,1701772130.0
5.0,1.9,18,1701771874.0
9.9,1.9,13,1701771832.0
5.0,2.3,24,1701771388.0
8.2,2.0,13,1701770902.0
4.8,3.5,13,1701770445.0
1.0,3.3,13,1701769787.0
5.0,1.7,28,1701768560.0
5.0,1.6,26,1701767123.0
5.0,1.6,35,1701764825.0
13.1,1.6,24,1701763282.0
8.4,1.5,43,1701762245.0
10.8,2.1,24,1701761584.0
9.6,2.0,13,1701761238.0
5.0,2.0,28,1701759439.0
8.6,2.5,5,1701758841.0
0.0,2.0,31,1701758102.0
4.2,2.1,20,1701757928.0
5.1,2.0,24,1701757742.0
18.5,1.4,30,1701755904.0
5.0,1.7,43,1701755847.0
10.8,1.6,10,1701751054.0
7.7,1.9,24,1701749316.0
10.7,1.8,24,1701749217.0
12.0,0.9,10,1701747559.0
2.7,1.5,43,1701744976.0
12.8,1.4,10,1701742711.0
4.6,1.5,36,1701737642.0
9.7,1.9,10,1701736718.0
11.3,1.4,10,1701736327.0
6.9,2.0,0,1701734508.0
15.1,1.4,23,1701733991.0
5.7,1.7,30,1701731082.0
14.0,1.6,10,1701731079.0
14.6,1.3,30,1701729954.0
11.6,1.3,10,1701729259.0
12.8,1.8,10,1701729143.0
12.4,1.4,33,1701728842.0
8.5,2.3,13,1701727992.0
7.8,3.4,13,1701727590.0
9.0,1.5,5,1701725993.0
11.2,1.4,21,1701725777.0
9.4,1.3,31,1701725067.0
5.5,1.4,0,1701724292.0
12.4,1.6,10,1701724055.0
8.6,1.1,30,1701724027.0
16.4,1.6,10,1701723608.0
2.6,1.5,14,1701721455.0
5.4,1.7,1,1701720558.0
8.3,2.4,24,1701719387.0
5.0,1.2,10,1701718930.0
10.7,2.4,10,1701718721.0
7.8,1.5,0,1701718517.0
8.4,1.7,24,1701717906.0
5.0,1.6,10,1701715927.0
4.2,1.6,33,1701715539.0
5.1,1.3,0,1701715385.0
5.1,2.4,30,1701714891.0
3.6,1.8,43,1701714473.0
13.8,1.6,10,1701714333.0
7.6,1.7,14,1701713050.0
23.5,1.5,30,1701711717.0
2.0,1.8,5,1701711421.0
3.6,2.1,8,1701710208.0
5.4,1.8,43,1701708372.0
11.7,1.4,21,1701707943.0
5.5,1.3,15,1701706551.0
6.5,1.2,24,1701703780.0
5.1,1.0,24,1701703427.0
5.1,1.9,30,1701700715.0
9.0,1.4,10,1701698875.0
5.0,3.2,33,1701697715.0
0.0,1.5,31,1701697426.0
5.0,1.6,24,1701697027.0
25.8,1.5,40,1701696677.0
9.3,1.6,24,1701696618.0
13.4,1.5,10,1701695699.0
13.9,2.0,10,1701695433.0
8.4,1.6,10,1701695286.0
8.7,1.2,10,1701695270.0
2.0,1.1,10,1701694900.0
3.8,0.7,10,1701694832.0
1.6,1.1,10,1701694642.0
18.9,1.4,30,1701694550.0
8.3,1.7,0,1701693883.0
8.4,1.1,31,1701693304.0
8.6,1.6,10,1701691397.0
2.1,1.2,10,1701690054.0
1.9,1.9,24,1701689938.0
13.8,1.3,10,1701689386.0
5.0,2.0,24,1701689175.0
20.3,1.4,10,1701689054.0
3.8,1.5,43,1701689031.0
5.0,3.5,24,1701688802.0
4.8,1.6,43,1701688551.0
7.5,1.2,28,1701688216.0
13.9,1.8,10,1701688196.0
1.8,1.0,10,1701687501.0
10.4,1.9,10,1701687072.0
3.4,1.3,43,1701687056.0
12.5,1.6,10,1701686903.0
1.8,1.3,43,1701686787.0
0.0,1.4,28,1701686214.0
4.1,1.8,30,1701686016.0
3.3,2.2,40,1701685314.0
5.0,1.0,10,1701684837.0
7.2,1.3,10,1701683845.0
18.7,1.4,10,1701683792.0
7.9,1.5,43,1701683411.0
11.4,1.7,30,1701682272.0
13.2,1.5,10,1701681518.0
10.8,1.5,10,1701680475.0
5.0,1.7,10,1701680389.0
0.0,1.0,32,1701680099.0
14.9,1.6,10,1701679999.0
6.9,1.4,10,1701679917.0
11.8,3.7,10,1701679489.0
13.0,1.6,10,1701678918.0
12.2,1.2,10,1701678902.0
4.1,1.8,43,1701678330.0
9.7,1.8,10,1701678259.0
7.4,3.0,10,1701677756.0
5.9,2.8,10,1701677526.0
5.3,1.8,10,1701676050.0
10.6,3.3,10,1701675933.0
5.4,5.1,10,1701675740.0
13.8,1.6,0,1701673053.0
2.6,2.1,0,1701672771.0
24.9,1.6,24,1701671410.0
18.3,2.0,18,1701666605.0
3.2,1.6,24,1701665740.0
5.0,1.6,30,1701665122.0
1.1,1.7,24,1701664924.0
11.9,1.4,24,1701662888.0
8.0,1.9,24,1701661823.0
7.2,1.8,23,1701660721.0
5.0,2.4,24,1701660516.0
9.2,1.3,23,1701660229.0
11.3,1.2,0,1701659606.0
9.5,0.9,30,1701655418.0
5.0,1.7,30,1701654932.0
10.1,1.4,30,1701654855.0
5.4,1.0,30,1701654012.0
5.0,2.1,24,1701653913.0
2.8,1.1,43,1701653049.0
4.9,1.0,10,1701652724.0
10.1,1.3,16,1701650752.0
5.7,1.9,24,1701648904.0
1.7,0.9,30,1701647688.0
9.0,1.4,24,1701646465.0
2.0,1.1,33,1701646429.0
6.3,1.5,24,1701646029.0
8.9,1.6,24,1701642971.0
11.9,1.2,24,1701642597.0
8.2,2.0,9,1701641975.0
7.2,2.2,0,1701637650.0
5.5,1.8,0,1701636631.0
9.3,1.3,30,1701636275.0
5.8,1.4,30,1701635820.0
18.3,1.3,21,1701632850.0
9.6,2.2,24,1701631546.0
8.8,2.5,30,1701617662.0
25.9,2.5,32,1701611589.0
7.1,1.5,24,1701610671.0
8.0,1.5,24,1701606434.0
5.0,2.7,26,1701605454.0
5.0,2.8,24,1701603243.0
2.7,1.9,21,1701597308.0
5.0,1.4,36,1701596574.0
15.7,2.1,24,1701594916.0
10.7,1.7,36,1701594010.0
5.0,2.6,41,1701590554.0
7.3,1.4,20,1701589815.0
8.3,1.8,41,1701589380.0
2.3,1.5,30,1701589000.0
26.8,1.5,30,1701587654.0
11.7,1.9,4,1701583674.0
12.8,1.7,31,1701580665.0
7.6,3.1,31,1701579511.0
4.9,1.8,1,1701578639.0
7.8,1.8,9,1701574031.0
3.1,1.1,24,1701572917.0
13.3,0.9,30,1701572531.0
5.0,2.4,0,1701572047.0
2.3,1.7,1,1701570978.0
8.5,1.6,24,1701570025.0
6.7,1.3,30,1701569636.0
15.0,1.3,24,1701568882.0
12.4,1.6,31,1701567964.0
5.0,2.6,22,1701567335.0
7.0,1.5,30,1701566737.0
9.5,1.3,30,1701566656.0
7.7,2.5,21,1701566138.0
14.1,1.0,30,1701564624.0
7.1,1.2,30,1701562390.0
15.8,0.5,30,1701561835.0
5.2,1.0,21,1701561438.0
2.7,2.2,30,1701560953.0
5.0,1.5,24,1701560244.0
6.9,1.2,30,1701559497.0
9.5,1.3,30,1701558130.0
6.4,1.8,24,1701557694.0
9.1,0.9,30,1701557570.0
7.7,2.6,34,1701557147.0
3.4,1.1,24,1701557063.0
5.4,1.1,21,1701556555.0
2.0,1.8,38,1701556423.0
8.2,2.8,30,1701556093.0
6.3,1.5,0,1701555792.0
7.5,1.2,30,1701553893.0
9.7,1.2,30,1701552459.0
17.8,2.2,30,1701550914.0
10.1,1.2,21,1701550155.0
12.9,1.3,24,1701549119.0
11.4,1.2,23,1701547290.0
5.0,1.5,23,1701547227.0
5.0,1.7,1,1701547087.0
5.0,1.8,13,1701546267.0
5.0,2.7,0,1701545541.0
5.0,1.1,40,1701544678.0
6.4,1.5,24,1701542901.0
10.0,2.0,18,1701541151.0
5.0,0.9,30,1701540921.0
9.9,1.2,30,1701537334.0
5.3,1.7,2,1701536511.0
4.1,1.8,0,1701535426.0
5.4,2.1,24,1701534965.0
1.8,1.8,24,1701534447.0
3.4,1.8,24,1701534137.0
11.3,1.4,30,1701532906.0
1.8,2.0,24,1701531930.0
8.1,2.6,17,1701530180.0
8.0,1.7,31,1701528363.0
9.7,2.5,17,1701523711.0
17.6,2.1,30,1701523490.0
0.0,2.0,28,1701522729.0
5.0,2.2,30,1701521075.0
5.8,1.9,24,1701519421.0
5.8,2.6,30,1701514960.0
6.1,2.5,24,1701513240.0
15.3,1.6,24,1701512325.0
7.1,2.1,21,1701511899.0
5.0,2.0,21,1701510911.0
0.0,1.1,10,1701509635.0
0.0,1.3,32,1701509499.0
8.7,1.9,23,1701508837.0
26.9,1.7,1,1701506469.0
0.0,1.5,31,1701501865.0
22.4,1.5,0,1701500206.0
7.9,1.4,30,1701494161.0
1.0,1.9,21,1701493228.0
12.9,1.6,24,1701492822.0
5.5,1.9,30,1701492649.0
4.4,1.2,30,1701492455.0
5.5,1.7,33,1701489353.0
6.2,2.5,32,1701486507.0
5.0,1.5,30,1701485482.0
7.6,1.6,30,1701485235.0
10.0,1.7,30,1701484942.0
5.0,1.3,1,1701484373.0
8.2,0.9,14,1701483500.0
19.0,1.1,33,1701483406.0
7.3,1.0,30,1701480801.0
20.6,1.0,36,1701480381.0
4.2,2.0,33,1701478635.0
20.6,1.2,24,1701477156.0
5.0,1.3,40,1701476641.0
20.2,1.6,1,1701474451.0
